1	what are bigos?	0	bigos --> dish type of dish --> [u'Stew']	0	bigos --> dish cuisine --> [u'Polish food']	0
646	who was king after leonidas died?	90	leonidas i --> person children --> [u'Pleistarchus']	2	monarch --> government position held office holder --> [u'Elizabeth II']	4
647	where laura ingalls wilder lived?	89	laura ingalls wilder --> place lived location --> [u'Wisconsin', u'South Dakota']	1	laura ingalls wilder --> place lived location --> [u'Wisconsin', u'South Dakota']	1
648	what city does paul ryan live in?	127	paul ryan --> person place of birth --> [u'Janesville']	4	paul ryan --> person place of birth --> [u'Janesville']	4
649	what was robert burns famous for?	128	robert burns --> person profession --> [u'Poet', u'Writer', u'Author', u'Bard']	0	robert burns --> person profession --> [u'Poet', u'Writer', u'Author', u'Bard']	0
650	what does kim kardashian work as?	173	kim kardashian --> person profession --> [u'Businessperson', u'Fashion Designer', u'Actor', u'Entrepreneur', u'Model']	0	kim kardashian --> romantic relationship celebrity --> [u'Kanye West', u'Ray J', u'Reggie Bush']	25
651	what is the zip code for trenton?	1964	trenton --> citytown postal codes --> [u'08625', u'08611', u'08628', u'08638', u'08610']	0	trenton --> citytown postal codes --> [u'08625', u'08611', u'08628', u'08638', u'08610']	0
652	where was mary todd lincoln from?	308	mary todd lincoln --> place lived location --> [u'Lexington', u'Springfield']	4	mary todd lincoln --> person place of birth --> [u'Lexington']	2
653	who won the battle of gettysburg?	6770	battle of gettysburg --> military command military combatant --> [u'United States of America', u'Confederate States of America']	28	the battle of gettysburg --> performance actor --> [u'Willard Mack', u'Charles K. French']	1
654	what broncos are in the pro bowl?	4478	denver broncos --> football roster position player --> [u'Quinton Carter', u'Chris Kuper', u'Louis Vasquez', u'Matt Prater', u'Ty Warren']	17	denver broncos --> football team division --> [u'AFC West']	7
655	where is the latin language from?	877	latin language --> human language language family --> [u'Indo-European languages', u'Italic languages']	48	latin language --> human language main country --> [u'Vatican City']	3
656	what do australians call bigfoot?	35462	australians --> ethnicity people --> [u'Katerina Kotsonis', u'John Collins', u'Damien Anderson', u'Frances Rings', u'Sean Williams']	0	bigfoot --> performance film --> [u'Will Penny', u'Suburban Sasquatch', u'Eaglewalk', u'Assault of the Sasquatch']	0
657	where is the thames river source?	1650	river thames --> river origin --> [u'Thames Head']	2	river thames --> location containedby --> [u'England', u'London', u'Kent']	416
658	who was the son of king leonidas?	87	leonidas i --> person children --> [u'Pleistarchus']	2	leonidas i --> marriage spouse --> [u'Gorgo, Queen of Sparta']	5
659	where did benjamin franklin work?	423	benjamin franklin --> employment tenure company --> [u'Josiah Franklin', u'United States Postal Service', u'James Franklin Printing Shop']	3	benjamin franklin --> employment tenure company --> [u'Josiah Franklin', u'United States Postal Service', u'James Franklin Printing Shop']	3
660	what college did john nash go to?	49	john forbes nash jr. --> education institution --> [u'Carnegie Institute of Technology', u'Princeton University', u'Bluefield High School']	2	john forbes nash jr. --> education institution --> [u'Carnegie Institute of Technology', u'Princeton University', u'Bluefield High School']	2
661	what was jesse james killed with?	151	jesse james --> deceased person cause of death --> [u'Assassination', u'Firearm']	0	jesse james --> deceased person cause of death --> [u'Assassination', u'Firearm']	0
662	who is dustin johnson the golfer?	88	dustin johnson --> person profession --> [u'Golfer']	0	dustin johnson --> marriage spouse --> [u'Amanda Caulder']	0
663	what led to stalin rise in power?	1746	joseph stalin --> kwtopic has sentences --> [u'As a member of the Politburo (the policy-making group) and of many other committees, he slowly strengthened his influence.', u'English writers H.G. Wells and Shaw were impressed, as was Hitler.', u'In August, 1939, Stalin entered an alliance with Germany, giving Hitler the confidence to send his forces into Poland, the act that began the Second World War.', u"Stalin distrusted Hitler but saw an opportunity to extend Russia's borders while Hitler's troops were occupied in western Europe.", u'He annexed eastern Poland, the republics of Estonia, Latvia, and Lithuania, and parts of Romania.']	0	joseph stalin --> military command military combatant --> [u'Soviet Union']	313
664	what is my timezone in louisiana?	9481	louisiana --> location time zones --> [u'Central Time Zone', u'UTC\u221206:00']	12	louisiana --> location time zones --> [u'Central Time Zone', u'UTC\u221206:00']	12
665	who is amy grant's first husband?	234	amy grant --> award nomination award nominee --> [u'Keith Thomas', u'Vince Gill', u'Owsley', u'Brown Bannister', u"Dillon O'Brian"]	37	amy grant --> marriage spouse --> [u'Vince Gill', u'Gary Chapman']	39
666	what places in japan were bombed?	16404	japan --> location contains --> [u'Shin-Kiyosu Station', u'Yagihara Station', u'Mihama', u'Ochanomizu University', u'Kahoku']	3	japan --> administrative area administrative children --> [u'Kumamoto Prefecture', u'Tokyo', u'Okinawa Prefecture', u'Kanagawa Prefecture', u'Saga Prefecture']	2627
667	what year was first world series?	232	1903 world series --> object name --> [u'1903 World Series']	0	world series --> recurring event instances --> [u'2006 World Series', u'1936 World Series', u'1920 World Series', u'1979 World Series', u'1918 World Series']	30
668	who was richard nixon married to?	1692	richard nixon --> pet ownership owner --> [u'Tricia Nixon Cox', u'Pat Nixon', u'Julie Nixon Eisenhower']	47	richard nixon --> marriage spouse --> [u'Pat Nixon']	35
669	where did the gettysburg address?	1132	battle of gettysburg --> book subject works --> [u'Gettysburg', u'Haskell of Gettysburg: His Life and Civil War Papers', u'The Killer Angels: A Novel of the Civil War', u"The Colors of Courage: Gettysburg's Forgotten History - Immigrants, Women, and African Americans in the Civil War's Defining Battle", u'Gettysburg: the final fury']	5	battle of gettysburg --> military command military combatant --> [u'United States of America', u'Confederate States of America']	28
670	who did the voice for lola bunny?	316	lola bunny --> performance actor --> [u'Britt McKillip', u'Kath Soucie']	3	lola bunny --> performance actor --> [u'Britt McKillip', u'Kath Soucie']	3
671	where does the parana river flow?	0	paraná river --> location containedby --> [u'Brazil', u'Argentina', u'Paraguay', u'Mesopotamia, Argentina']	0	paraná river --> river basin countries --> [u'Brazil', u'Argentina', u'Paraguay']	0
672	what religion does canada follow?	66778	canada --> religion percentage religion --> [u'Catholicism', u'Islam', u'Protestantism']	11	canada --> religion percentage religion --> [u'Catholicism', u'Islam', u'Protestantism']	11
673	what countries constitute the eu?	5887	european union --> organization membership member --> [u'Belgium', u'Bulgaria', u'Croatia', u'Finland', u'Germany']	0	europe --> continents countries within --> [u'Belgium', u'Bulgaria', u'Croatia', u'Finland', u'Germany']	681
674	how deep is lake merritt oakland?	31	lake merritt --> tourist attraction near travel destination --> [u'Oakland']	15	lake merritt --> location containedby --> [u'Oakland', u'Alameda County']	15
675	what banjo does scott avett play?	68	EMPTY	0	banjo --> track contribution track --> [u'Prelude to Love in the Making', u"Magdalina's Dance", u'Goodnight Irene', u'Anchors Away', u'Sleepwalking']	0
676	what is spoken in czech republic?	10402	czech republic --> country languages spoken --> [u'German Language', u'Russian Language', u'Ukrainian Language', u'Bulgarian Language', u'Greek Language']	41	czech republic --> country official language --> [u'Czech Language']	110
677	where was osama bin laden killed?	979	osama bin laden --> deceased person place of death --> [u'Abbottabad']	26	osama bin laden --> place lived location --> [u'Saudi Arabia', u'Pakistan', u'Sudan', u'Afghanistan']	108
678	when was father chris riley born?	4	EMPTY	0	chris riley --> person place of birth --> [u'Echuca']	0
679	where did mubarak get his wealth?	548	hosni mubarak --> person profession --> [u'Politician']	0	hosni mubarak --> place lived location --> [u'Cairo']	19
680	what religion was king louis xiv?	801	louis xiv of france --> person religion --> [u'Catholicism']	1	louis xiv of france --> person religion --> [u'Catholicism']	1
681	who did denise van outen married?	4	denise van outen --> marriage spouse --> [u'Lee Mead']	0	denise van outen --> dated participant --> [u'Gary Glitter', u'Jason Kay', u'James Lance', u'Lee Mead', u'Nick Moran']	1
682	who is the coach of the sf giants?	1819	san francisco giants --> current coaching tenure baseball coach --> [u'Bill Hayes', u'Mark Gardener', u'Roberto Kelly', u'Tim Flannery', u'Dave Righetti']	3	coach --> profession people with this profession --> [u'Clarence Shelmon', u'Paulo Jorge Rebelo Duarte', u'Dougie Brown', u'Ricky Hunley', u'Brent Guy']	0
683	what is the sacred text of daoism?	158	taoism --> religion texts --> [u'I Ching', u'Tao Te Ching', u'Zhuangzi', u'Daozang']	25	taoism --> religion texts --> [u'I Ching', u'Tao Te Ching', u'Zhuangzi', u'Daozang']	25
684	who did william shakespeare marry?	1007	william shakespeare --> marriage spouse --> [u'Anne Hathaway']	5	william shakespeare --> marriage spouse --> [u'Anne Hathaway']	5
685	what degrees did barack obama get?	4948	barack obama --> education degree --> [u'Juris Doctor', u'Bachelor of Arts']	1	barack obama --> inauguration speaker inauguration --> [u'First inauguration of Barack Obama']	31
686	where does lil wayne go to school?	447	lil wayne --> education institution --> [u'University of Houston', u'Lafayette Elementary School', u'University of Phoenix', u'Eleanor McMain Secondary School', u'Mcmain Magnet Secondary School']	0	lil wayne --> education institution --> [u'University of Houston', u'Lafayette Elementary School', u'University of Phoenix', u'Eleanor McMain Secondary School', u'Mcmain Magnet Secondary School']	0
687	what time zone am i in california?	31053	california --> location time zones --> [u'Pacific Time Zone', u'UTC-8']	50	california --> location time zones --> [u'Pacific Time Zone', u'UTC-8']	50
688	what animal represents california?	30888	california --> location symbol relationship symbol --> [u'Square dance', u'Desert tortoise', u'Sequoiadendron giganteum', u'Garibaldi', u'Eschscholzia californica']	11	california --> location partially contains --> [u'San Diego\u2013Tijuana', u'Lake Tahoe', u'Great Basin', u'Cascade Range', u'Sierra Nevada']	513
689	what country do maltese come from?	117	EMPTY	0	country --> book subject works --> [u'Three chords and the truth', u'Pure Country: The Leon Kagarise Archives 1961-1971', u'Country', u'Honky Tonk Kat', u'Pop quiz']	0
690	where did emperor constantine die?	222	EMPTY	0	constantine the great --> deceased person place of death --> [u'Nicomedia']	5
691	what airport is near arlington tx?	1003	arlington --> location nearby airports --> [u'Arlington Municipal Airport']	0	arlington --> location contains --> [u'Six Flags Over Texas', u'Cowboys Dancehall-Arlington', u'University of Texas at Arlington', u'Rangers Ballpark in Arlington', u'American Broadcasting School-Arlington']	30
692	what was antoni gaudi inspired by?	112	antoni gaudí --> influence node influenced by --> [u'Eug\xe8ne Viollet-le-Duc', u'William Morris']	0	antoni gaudí --> influence node influenced by --> [u'Eug\xe8ne Viollet-le-Duc', u'William Morris']	0
693	who is princess leia in star wars?	420	leia organa --> performance actor --> [u'Carrie Fisher']	21	leia organa --> regular tv appearance actor --> [u'Carrie Fisher', u'Amy Smart']	21
694	who did james franco play in milk?	333	james franco --> performance special performance type --> [u'Him/Herself', u'Voice', u'Uncredited']	0	james franco --> regular tv appearance character --> [u'Franco', u'Daniel Desario']	7
695	what countries are part of the uk?	93967	united kingdom --> country first level divisions --> [u'England', u'Scotland', u'Wales', u'Northern Ireland']	2485	united kingdom --> administrative area administrative children --> [u'England', u'Scotland', u'Wales', u'Northern Ireland']	2485
696	what form of government is the uk?	93982	united kingdom --> country form of government --> [u'Constitutional monarchy', u'Parliamentary system', u'Unitary state']	7	united kingdom --> country form of government --> [u'Constitutional monarchy', u'Parliamentary system', u'Unitary state']	7
697	what language turkey people speak?	5318	turkey --> country languages spoken --> [u'Arabic Language', u'Ladino Language', u'Turkish Language', u'Kurdish language', u'Zazaki language']	196	turkey --> country official language --> [u'Turkish Language']	179
698	what languages are there in japan?	16395	japan --> country languages spoken --> [u'English Language', u'Korean Language', u'Japanese Language', u'Ainu Language', u'Esperanto Language']	209	japan --> country official language --> [u'Japanese Language']	155
699	what did warren buffett invest in?	283	warren buffett --> leadership organization --> [u'Berkshire Hathaway']	81	warren buffett --> book subject works --> [u'Buffetology', u'Creative Capitalism: A Conversation with Bill Gates, Warren Buffett, and Other Economic Leaders', u'Warren Buffett Speaks', u'The Snowball: Warren Buffett and the Business of Life', u"Even Buffett Isn't Perfect: What You Can--and Can't--Learn from the World's Greatest Investor"]	0
700	what are some ancient egypt names?	9564	egypt --> military command military commander --> [u'Hosni Mubarak', u'Ahmad Ismail Ali', u'Saad el-Shazly', u'Abdul Munim Wassel', u'Ahmed Ali al-Mwawi']	80	ancient egypt --> book subject works --> [u'I, the Sun', u'Nefertiti', u'The Rise and Fall of Ancient Egypt']	0
701	where does the tennessee river go?	136	tennessee river --> river cities --> [u'Crump', u'Knoxville', u'Florence', u'Huntsville', u'Killen']	24	tennessee river --> river basin countries --> [u'United States of America']	16
702	where was rihanna born and raised?	929	rihanna --> artist origin --> [u'Saint Michael Parish', u'Barbados']	11	rihanna --> place lived location --> [u'Barbados']	11
703	where is president kennedy buried?	2132	john f. kennedy --> deceased person place of burial --> [u'Arlington National Cemetery']	13	john f. kennedy --> deceased person place of death --> [u'Dallas']	33
704	what has ian somerhalder acted in?	108	ian somerhalder --> regular tv appearance series --> [u'The Vampire Diaries', u'Young Americans', u'Lost', u'Smallville', u'Tell Me You Love Me']	9	ian somerhalder --> performance film --> [u'Recess', u"National Lampoon's TV: The Movie", u'The Anomaly', u'The Tournament', u'Life as a House']	2
705	who was juan ponce de leon family?	168	juan ponce de león --> person parents --> [u'Leonor de Guzm\xe1n de Silva', u'Juan Ponce de Le\xf3n, II conde de Arcos']	0	juan ponce de león --> person profession --> [u'Explorer']	0
706	what county is kansas city kansas?	6365	kansas city --> location containedby --> [u'United States of America', u'Kansas', u'Wyandotte County']	110	kansas city --> hud county place place --> [u'Kansas City']	4233
707	what college did maya moore go to?	48	maya moore --> education institution --> [u'University of Connecticut', u'Collins Hill High School']	3	maya moore --> education institution --> [u'University of Connecticut', u'Collins Hill High School']	3
708	what songs do zac brown band sing?	39	zac brown band --> award nomination nominated for --> [u"As She's Walking Away", u'Chicken Fried', u'You Get What You Give', u'The Wind', u'Uncaged']	9	zac brown band --> award nomination nominated for --> [u"As She's Walking Away", u'Chicken Fried', u'You Get What You Give', u'The Wind', u'Uncaged']	9
709	when did kaley cuoco join charmed?	63	kaley cuoco --> regular tv appearance seasons --> [u'Charmed Season 8', u'Prison Break - Season 2']	2	kaley cuoco --> regular tv appearance character --> [u'Paula Hayes', u'Rebecca Dubrovich', u'Little Ellen', u'Weather Vane', u'Penny']	6
710	what team is hank baskett on 2010?	29	hank baskett --> player nfl team --> [u'Philadelphia Eagles']	1	hank baskett --> sports team roster team --> [u'Indianapolis Colts', u'Minnesota Vikings', u'Philadelphia Eagles']	2
711	what books did louis sachar wrote?	46	louis sachar --> author works written --> [u'Hoyos/Holes', u'Der Fluch des David Ballinger. ( Ab 11 J.).', u"There's a Boy in the Girls' Bathroom", u"There's Boy/grls Bathr", u'Sideways Arithmetic From Wayside School']	2	louis sachar --> award nomination nominated for --> [u'Holes', u'The Cardturner']	13
712	who will play mr gray in the film?	206	EMPTY	0	be kind rewind --> performance character --> [u'Video Store Customer #1', u"Fats Waller's fan in train #1", u'Tophat Harry', u"Fats Waller's fan in train #3", u"Fats Waller's fan in train #4"]	0
713	where is dwayne johnson ethnicity?	215	dwayne johnson --> person ethnicity --> [u'African American', u'Samoan American']	0	dwayne johnson --> place lived location --> [u'Bethlehem', u'Hawaii']	1
714	who is khloe kardashian's husband?	214	khloé kardashian --> marriage spouse --> [u'Lamar Odom']	0	kim kardashian --> marriage spouse --> [u'Kanye West', u'Damon Thomas', u'Kris Humphries']	26
715	where did anne frank go to school?	193	anne frank --> education institution --> [u'Montessori Lyceum Amsterdam', u'Jewish Lyceum']	0	anne frank --> education institution --> [u'Montessori Lyceum Amsterdam', u'Jewish Lyceum']	0
716	when did the burma cyclone happen?	2284	myanmar --> cyclone affected area cyclones --> [u'Cyclone Nargis', u'Cyclone Akash', u'Cyclone Giri', u'1999 Odisha cyclone', u'Cyclone Bijli']	18	myanmar --> country form of government --> [u'Presidential system', u'Unitary state', u'Constitutional republic']	0
717	what kind of government is sweden?	6365	sweden --> country form of government --> [u'Constitutional monarchy', u'Representative democracy', u'Parliamentary system', u'Unitary state', u'Hereditary monarchy']	3	sweden --> country form of government --> [u'Constitutional monarchy', u'Representative democracy', u'Parliamentary system', u'Unitary state', u'Hereditary monarchy']	3
718	what else did ben franklin invent?	423	benjamin franklin --> inventor inventions --> [u'Glass harmonica', u'Franklin stove', u'Lightning rod', u'Bifocals']	9	benjamin franklin --> inventor inventions --> [u'Glass harmonica', u'Franklin stove', u'Lightning rod', u'Bifocals']	9
719	who did richard nixon run against?	1692	richard nixon --> kwtopic connections from --> [u'richard milhous nixon lost election to john fitzgerald kennedy', u'richard milhous nixon met fidel castro', u'richard milhous nixon conferred with andre malraux', u'richard milhous nixon vice-president to dwight david eisenhower', u'richard milhous nixon met mao zedong']	0	richard nixon --> marriage spouse --> [u'Pat Nixon']	35
720	where to go fishing in roanoke va?	5529	EMPTY	0	roanoke --> hud county place county --> [u'Roanoke']	830
721	what is john edwards indicted for?	167	john edwards --> acquittal crime type --> [u'Political corruption']	0	john edwards --> author works written --> [u'Four Trials']	1
722	what kind of government does peru?	7713	peru --> country form of government --> [u'Presidential system', u'Republic', u'Unitary state', u'Constitutional republic']	0	peru --> country form of government --> [u'Presidential system', u'Republic', u'Unitary state', u'Constitutional republic']	0
723	what countries included in the uk?	94059	united kingdom --> country first level divisions --> [u'England', u'Scotland', u'Wales', u'Northern Ireland']	2485	united kingdom --> location containedby --> [u'Europe', u'Western Europe', u'United Kingdom, with Dependencies and Territories', u'Eurasia']	528
724	what currency to take to barbados?	526	barbados --> country currency used --> [u'Barbadian dollar']	4	barbados --> country currency used --> [u'Barbadian dollar']	4
725	where is olympic national park wa?	46	olympic national park --> location containedby --> [u'Washington', u'Jefferson County']	12	olympic national park --> location containedby --> [u'Washington', u'Jefferson County']	12
726	which country won the crimean war?	326	crimean war --> event entity involved --> [u'Nikolay Muravyov-Amursky', u'Yevfimy Putyatin', u'FitzRoy Somerset, 1st Baron Raglan', u'Napoleon III', u'Sir James Graham, 2nd Baronet']	19	crimean war --> military combatant group combatants --> [u'United Kingdom', u'County of Nassau', u'Ottoman Empire', u'Kingdom of Sardinia', u'Russian Empire']	112
727	what do people in australia speak?	35343	australia --> country languages spoken --> [u'English Language', u'Esperanto Language', u'Lojban']	34	australia --> country languages spoken --> [u'English Language', u'Esperanto Language', u'Lojban']	34
728	what state is mount st. helens in?	398	mount st. helens --> location containedby --> [u'North America', u'Washington', u'United States of America', u'Skamania County', u'Cascade Range']	31	mount st. helens --> location containedby --> [u'North America', u'Washington', u'United States of America', u'Skamania County', u'Cascade Range']	31
729	what money do i use in costa rica?	1790	costa rica --> country currency used --> [u'Costa Rican col\xf3n']	0	costa rica --> country currency used --> [u'Costa Rican col\xf3n']	0
730	what countries does nafta include?	38	north american free trade agreement --> organization membership member --> [u'United States of America', u'Mexico', u'Canada']	37	north american free trade agreement --> book subject works --> [u'The Selling of ""Free Trade"": NAFTA, Washington, and the Subversion of American Democracy']	0
731	what nationality is mother teresa?	152	mother teresa --> person nationality --> [u'India', u'Albania']	13	mother teresa --> deceased person place of death --> [u'Kolkata']	12
732	where did giuliana rancic grow up?	7	giuliana rancic --> person place of birth --> [u'Naples']	0	giuliana rancic --> person place of birth --> [u'Naples']	0
733	who did vasco de gama explore for?	239	vasco da gama --> person nationality --> [u'Portugal']	31	vasco da gama --> person parents --> [u'Est\xeav\xe3o da Gama', u'Isabel Sodr\xe9']	0
734	what state did john adams live in?	1058	john adams --> government position held district represented --> [u'Massachusetts']	17	john adams --> place lived location --> [u'Massachusetts', u'Braintree']	21
735	who was frida kahlo influenced by?	150	frida kahlo --> marriage spouse --> [u'Diego Rivera']	65	frida kahlo --> influence node influenced by --> [u'Diego Rivera']	65
736	what was scottie pippen known for?	282	scottie pippen --> person profession --> [u'Actor', u'Basketball player']	0	scottie pippen --> basketball historical roster position to --> [u'1998']	0
737	what did the ancient romans speak?	606	roman empire --> country official language --> [u'Latin Language']	101	roman empire --> country official language --> [u'Latin Language']	101
738	what art did wassily kandinsky do?	245	wassily kandinsky --> visual artist associated periods or movements --> [u'Der Blaue Reiter', u'Abstract art', u'Expressionism', u'German Expressionism']	35	wassily kandinsky --> visual artist art forms --> [u'Painting']	3
739	where is traditional chinese used?	33	EMPTY	0	traditional chinese characters --> language writing system languages --> [u'Chinese language', u'Yue Chinese', u'Taiwanese Mandarin']	27
740	who is angelina jolie mom and dad?	1328	angelina jolie --> person parents --> [u'Jon Voight', u'Marcheline Bertrand']	19	angelina jolie --> marriage spouse --> [u'Billy Bob Thornton', u'Brad Pitt', u'Jonny Lee Miller']	102
741	where did salvador dali study art?	0	salvador dalí --> education institution --> [u'Real Academia de Bellas Artes de San Fernando']	0	salvador dalí --> education institution --> [u'Real Academia de Bellas Artes de San Fernando']	0
742	who was the italian leader in ww1?	2552	world war i --> military conflict military personnel involved --> [u'George Johnston', u'Eugene Paul Bennett', u'Frederick Fisher', u'Henryk Sucharski', u'Brooke Brewer']	1	world war i --> military command military commander --> [u'Grand Duke Nicholas Nikolaevich of Russia', u'Janko Vukoti\u0107', u'Panagiotis Danglis', u'Robert Nivelle', u'Erich Ludendorff']	8
743	what was pink floyd's first album?	1581	pink floyd --> artist album --> [u"Interstellar Overdrive: The Alternate Masters '66-'68-compilation album", u'1971-09-30: One of These Days: Paris Theatre, London, UK-live album', u'Live in Montreux 1971-live album', u'Echoes: The Best of Pink Floyd', u'The Final Cut']	29	pink floyd --> award nomination nominated for --> [u'Delicate Sound of Thunder', u'Another Brick in the Wall, Part 2', u'The Wall', u'Wish You Were Here', u'Marooned']	152
744	when did florida marlins join mlb?	15560	miami marlins --> baseball team stats season --> [u'2006 Major League Baseball season', u'2007 Major League Baseball season', u'2008 Major League Baseball season', u'2005 Major League Baseball season', u'2004 Major League Baseball season']	0	miami marlins --> sports team championships --> [u'2003 World Series']	1
745	where did morgan freeman graduate?	204	morgan freeman --> education institution --> [u'Jackson State University', u'Los Angeles City College']	0	morgan freeman --> education institution --> [u'Jackson State University', u'Los Angeles City College']	0
746	who was king george vi married to?	1642	george vi --> marriage spouse --> [u'Queen Elizabeth The Queen Mother']	165	george vi --> marriage spouse --> [u'Queen Elizabeth The Queen Mother']	165
747	what did charles babbage discover?	108	charles babbage --> book subject works --> [u'The Difference Engine: Charles Babbage and the Quest to Build the First Computer']	0	charles babbage --> inventor inventions --> [u'Difference engine', u'Analytical Engine']	37
748	who killed lee harvey oswald shot?	352	lee harvey oswald --> murdered person murdered by --> [u'Jack Ruby']	76	lee harvey oswald --> murdered person murdered by --> [u'Jack Ruby']	76
749	who will the cavaliers draft 2012?	645	cleveland cavaliers --> basketball roster position player --> [u'Kyrie Irving', u'Omri Casspi', u'Kevin Jones', u'Anderson Varej\xe3o', u'Alonzo Gee']	23	cleveland cavaliers --> sports team roster player --> [u'Luke Harangody', u'Jeremy Pargo', u'Joey Graham', u'Josh Selby', u'Anthony Parker']	9
750	where do ireland play rugby union?	7965	ireland --> thoroughbred racehorse origin horses from this location --> [u'Troy', u'Street Cry', u'Sinndar', u'Grandera', u'Alamshar']	0	ireland --> location contains --> [u'Trinity College, Dublin', u'University of Dublin', u'County Dublin', u'Dublin', u'Clongowes Wood College']	897
751	who played dana scully in x files?	1000	dana scully --> performance actor --> [u'Gillian Anderson']	174	the x-files --> regular tv appearance actor --> [u'Gillian Anderson', u'William B. Davis', u'Veronica Cartwright', u'Lili Taylor', u'Nicholas Lea']	47
752	where to go in ibiza for families?	2261	ibiza --> tourist attraction near travel destination --> [u'Valencia']	6	ibiza --> location contains --> [u'Ibiza Airport', u'Es Paradis']	37
753	where did paula deen go to school?	34	paula deen --> education institution --> [u'Albany High School']	0	paula deen --> education institution --> [u'Albany High School']	0
754	what language do the maasai speak?	5	maasai language --> object name --> [u'Maasai Language']	0	maasai language --> human language language family --> [u'Nilo-Saharan languages']	2
755	where was teddy roosevelt's house?	3493	theodore roosevelt --> place lived location --> [u'New York City']	16	theodore roosevelt --> place lived location --> [u'New York City']	16
756	who coaches the carolina panthers?	2643	carolina panthers --> football team current head coach --> [u'Ron Rivera']	6	carolina panthers --> football team current head coach --> [u'Ron Rivera']	6
757	what city is acadia university in?	560	acadia university --> location containedby --> [u'Canada', u'Nova Scotia', u'Wolfville']	23	acadia university --> location containedby --> [u'Canada', u'Nova Scotia', u'Wolfville']	23
758	what has kristen stewart acted in?	462	kristen stewart --> award nomination nominated for --> [u'Into the Wild', u'Panic Room', u'Eclipse', u'New Moon', u'Snow White and the Huntsman']	29	kristen stewart --> award honor honored for --> [u'Eclipse', u'New Moon', u'Snow White and the Huntsman', u'Twilight', u'The Twilight Saga: Breaking Dawn - Part 1']	38
759	who played barbara gordon batgirl?	96	EMPTY	0	barbara gordon --> regular tv appearance actor --> [u'Melissa Gilbert', u'Yvonne Craig']	5
760	who was france allied with in ww2?	8279	world war ii --> casualties combatant --> [u'Allies of World War II', u'United Kingdom', u'United States of America', u'Axis powers']	2133	world war ii --> military command military commander --> [u'Gerald Ford', u'Leopold III of Belgium', u'Chiang Kai-shek', u'Joseph Stalin', u'Adolf Hitler']	290
761	where to eat crawfish in beaumont?	874	beaumont --> location people born here --> [u'Charles F. Willis', u'Johnny Winter', u'Cliff Odom', u'Lucas Babin', u'Jesse Dayton']	1	beaumont --> location contains --> [u'Kaplan College-Beaumont', u'Provost Umphrey Stadium', u'Jefferson County Courthouse', u'Lamar Institute of Technology', u'Lamar University']	33
762	what region did the incas live in?	71	inca empire --> location containedby --> [u'Cusco']	21	inca empire --> location containedby --> [u'Cusco']	21
763	who is jake gyllenhaal married to?	271	jake gyllenhaal --> romantic relationship celebrity --> [u'Reese Witherspoon', u'Kirsten Dunst', u'Jenny Lewis']	9	jake gyllenhaal --> dated participant --> [u'Reese Witherspoon', u'Kirsten Dunst', u'Rachel Stevens', u'Taylor Swift', u'Natalie Portman']	15
764	what country did buddha come from?	341	EMPTY	0	gautama buddha --> person nationality --> [u'Nepal']	8
765	what year did the bulls get rodman?	817	dennis rodman --> basketball player stats season --> [u'1999\u20132000 NBA season', u'1998\u201399 NBA season', u'1997\u201398 NBA season', u'1986\u201387 NBA season', u'1996\u201397 NBA season']	0	chicago bulls --> sports team championships --> [u'1996 NBA Finals', u'1998 NBA Finals', u'1997 NBA Finals', u'1992 NBA Finals', u'1991 NBA Finals']	53
766	what country does alaska belong to?	5126	alaska --> location containedby --> [u'United States of America', u'United States, with Territories', u'Continental United States', u'Western United States']	572	alaska --> location contains --> [u'Mount Salisbury', u'Yistletaw', u'Napakiak', u'Tununak', u'Toksook Bay']	7
767	who does the voice for darth vader?	2977	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45	darth vader --> performance actor --> [u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Sebastian Shaw', u'Hayden Christensen']	45
768	where did starbucks get their logo?	1454	starbucks --> organization board membership member --> [u'Jeffrey H Brotman', u'Craig Weatherup', u'James Shennan', u'Sheryl Sandberg', u'Bill Bradley']	1	fc barcelona --> sports team arena stadium --> [u'Camp Nou']	88
769	what is carlos pena jr nationality?	1	carlos peña --> person nationality --> [u'Dominican Republic']	0	carlos peña --> person place of birth --> [u'Santo Domingo']	0
770	who was ptolemy and what did he do?	521	ptolemy --> person profession --> [u'Astrologer', u'Mathematician', u'Astronomer', u'Philosopher', u'Geographer']	0	ptolemy --> person profession --> [u'Astrologer', u'Mathematician', u'Astronomer', u'Philosopher', u'Geographer']	0
771	what does barbara bush do for work?	192	barbara bush --> employment tenure title --> [u'First Lady']	8	barbara bush --> person profession --> [u'Homemaker']	0
772	what book is mark twain famous for?	307	mark twain --> author works written --> [u"Mark Twain's letters to his publishers, 1867-1894", u"Mark Twain's letters to Mary", u'Jim Smiley & his jumping frog', u'Concerning cats', u'UC JUNIOR ABRIDGED HUCK FINN']	0	mark twain --> fictional character creator fictional characters created --> [u'Huckleberry Finn', u'Tom Sawyer', u'Jean-Francois Millet']	26
