what are bigos?	[u'Stew']	[u'Polish food']
what sri lanka capital?	[u'Sri Jayawardenapura Kotte']	[u'Sovereign state', u'Southern Province', u'Northern Province', u'Earth', u'Unitary state', u'India', u'South Asia', u'British Ceylon', u'Eastern Province', u'Eelam War IV', u'Eelam War III', u'Eelam War II', u'English Language', u'Tamil Language', u'Sinhala Language', u'Tamil National Alliance', u'United National Party', u'Sri Lanka Freedom Party', u'Democratic National Alliance', u'Tamil Language', u'Sinhala Language', u'Asia', u'Indian rupee', u'2010 Commonwealth Games', u"SRI International's main campus on Ravenswood Avenue, Menlo Park, California", u'California']
where buddha come from?	[u'Lumbini']	[u'Buddha', u'StandingBuddha', u'PrinceSiddhartha', u'Marpa Lotsawa', u'Asa\u1e45ga', u'Vasubandhu', u'Ati\u015ba', u'-0482', u'R\u0101hula', u'-0562', u'Nepal', u'Lumbini', u'Philosopher', u'Everything changes, nothing remains without change.', u'Buddhism', u'Buddhism']
who was vp for lincoln?	[u'Andrew Johnson', u'Hannibal Hamlin']	[u'South Korea', u'Al Gore', u'Gerald Ford', u'Dan Quayle', u'Walter Mondale', u'Theodore Roosevelt', u'John Tyler', u'Richard Nixon', u'Charles Curtis', u'Dick Cheney', u'Joe Biden', u'George Clinton', u'Daniel Scioli', u'Juan Per\xf3n', u'Andrew Johnson', u"Lincoln's Kalamazoo address against extending slavery", u'Ann Rutledge', u'President', u'Illinois', u'Illinois Republican Party', u'Whig Party', u'Republican Party', u'National Union Party', u'Robert Todd Lincoln', u'Die when I may, I want it said of me by those who knew me best, that I always plucked a thistle and planted a flower where I thought a flower would grow.', u'It is said an Eastern monarch once charged his wise men to invent him a sentence, to be ever in view, and which should be true and appropriate in all times and situations. They presented him the words: And this, too, shall pass away. How much it expresses! How chastening in the hour of pride!how consoling in the depth of affliction!', u'Springfield', u'Mary Todd Lincoln', u'Hugh McCulloch', u'William H. Seward', u'Tad Lincoln', u'David Davis']
what does monsanto own?	[u'Agricultural Chemicals', u'Seed', u'Agriculture', u'Chemical industry']	[u'Monsanto Europe S.A./N.V.']
who plays billy elliot?	[u'Jamie Bell']	[u'Jamie Bell', u'Billy Elliot']
who was gerald ford vp?	[u'Nelson Rockefeller']	[u'Gerald Ford (Chevy Chase)', u'Leslie Lynch King, Jr.', u'Gerald R. Ford: All American President', u'Gerald R. Ford: Healing the Presidency', u'Republican Party', u'Michael Gerald Ford', u'John Gardner Ford', u'University of Michigan', u'Yale University', u'Yale Law School', u'Dorothy Ayer Gardner Ford', u'Leslie Lynch King, Sr.', u'Grand Rapids', u'I do not want a honeymoon with you. I want a good marriage. I want progress, and I want problemsolving which requires my best efforts and also your best efforts. I have no need to learn how Congress speaks for the people. As President, I intend to listen. But I also intend to listen to the people themselvesall the peopleas I promised last Friday. I want to be sure that we are all tuned in to the real voice of America.', u'The American wage earner and the American housewife are a lot better economists than most economists care to admit. They know that a government big enough to give you everything you want is a government big enough to take from you everything you have.', u'James Francis Ford', u'Richard Addison Ford', u'Thomas Gardner Ford', u'Grand Rapids', u'Betty Ford', u'David Gergen', u'Dick Cheney', u'Elliot Richardson', u'Brent Scowcroft', u'Donald Rumsfeld', u'Jerald terHorst', u'James Thomas Lynn', u'Richard Nixon', u'Richard Nixon']
what does bentley mean?	[u'Bentley Motors Limited']	[u'Chinese language', u'United States of America', u'South Korea']
who plays harley quinn?	[u'Arleen Sorkin', u'Mia Sara', u'Hynden Walch']	[u'Arkham Asylum', u'Internship', u'Arleen Sorkin']
what did fred durst do?	[u'Musician']	[u'Limp Bizkit', u'The Longshots', u'Parents', u'Rap metal', u'Nu metal', u'Rap rock', u'Geffen Records', u'Mojo Records', u'Flip Records', u'Guitar', u'Red Light-Green Light', u'Lonely World', u'Phenomenon', u'Dallas Durst', u'United States of America', u'Gastonia', u'Businessperson', u'Actor', u'Guitarist', u'Musician', u'Singer', u'Rapper', u'Songwriter', u'Film Director']
who won fedex cup 2012?	[u'Brandt Snedeker']	[]
what to do san jose ca?	[u'San Jose Municipal Rose Garden', u'The Tech Museum of Innovation', u'Winchester Mystery House', u'Japantown', u'Downtown San Jose', u'Rosicrucian Egyptian Museum', u'San Jose Museum of Quilts & Textiles', u'San Jose Museum of Art', u'Alum Rock Park', u'Santana Row']	[u'San Jose, California, USA earthquake', u'Sait\u014d D\u014dsan', u'1556', u'Sait\u014d clan', u'Sait\u014d Yoshitatsu', u'N\u014dhime', u'1494', u'Sait\u014d D\u014dsan', u'February 19, 2012 Costa Rica Earthquake']
who voiced darth vader?	[u'James Earl Jones']	[u'James Earl Jones', u'Jake Lloyd', u'David Prowse', u'Hayden Christensen', u'Matt Lanter', u'Robert E. Bean', u'Watto', u'Slave', u'Padm\xe9 Amidala', u'German Language', u'Matt Lanter']
who played cletus hogg?	[u'Jack Polick']	[]
where is jay leno from?	[u'New Rochelle']	[u'SNL - 11.11', u'Children', u'Dyslexia', u'Scottish American', u'Italian American', u'English Language', u'New Rochelle', u'Actor', u'Writer', u'Screenwriter', u'Comedian', u'Satire']
who is sir james dyson?	[u'Designer', u'Industrial designer', u'Engineer', u'Inventor']	[u'Barry Nelson', u'Bob Simmons', u'Pierce Brosnan', u'Roger Moore', u'Timothy Dalton', u'Daniel Craig', u'Sean Connery', u'George Lazenby', u'David Niven', u'Casino Royale', u'Dr. No', u'Moonraker', u'Diamonds Are Forever', u'GoldenEye', u'The Living Daylights', u'Goldfinger', u'Quantum of Solace', u'Casino Royale', u'Thunderball', u'Casino Royale', u'Bonds Are Forever', u'Bond 24', u'Bond 25', u'Tracy Bond', u'Kissy Suzuki', u'Gun barrel sequence', u'Roger Moore', u'Daniel Craig', u'Stuart Townsend', u'Movement for France', u'Edward Goldsmith', u'Lady Annabel Goldsmith', u'Maria Isabel Pati\xf1o', u'Laure Boulay de la Meurthe']
what was goebbels role?	[u"After Hitler's coup in 1933, Goebbels was named Reich Minister for Public Enlightenment and Propaganda and president of the newly-formed Chamber of Culture, which gave him total control over Germany's media."]	[u'Der Angriff', u'The Nazi-Sozi', u'Tagebu cher 1924-1945', u'Das Tagebuch', u'Der steile aufstieg', u'Schluss jetzt!', u'Michael', u'bronzen hart', u'Die Wahrheit u\u0308ber Spanien', u'Das erwachende Berlin', u'Het Bronzen Hart', u'Doctor Goebbels', u'Suicide', u'Berlin', u'Holdine Kathrin Goebbels', u'Male', u'Germany', u'Fritz Goebbels', u'Screenwriter', u'Politician', u'Author', u'Catholicism', u'politics and government', u'propagandist', u'Hindemith^?', u'Person', u'Nazism', u'Anti-communism', u'Anti-capitalism', u'The Malicious Dwarf', u'The Nazi Megaphone', u'Kolberg', u'World War II']
where does bronx begin?	[u'Yankee Stadium']	[u'United States of America', u'Yankee Stadium', u'Yankee Stadium', u'Bay Plaza Shopping Center', u'Roberto Clemente State Park', u'Afrika Bambaataa', u'Cicero Salmon III', u'Kid Creole', u'Virginia Paris', u'Eastern Time Zone', u'Bronx Press-Review', u'Bronx Zoo', u'Yankee Stadium', u'The Bronx', u'New York Yankees', u'United States of America']
who plays spike spiegel?	[u'Steven Blum', u'Koichi Yamadera']	[u'Voice acting in Japan', u'Steven Blum']
where is walton indiana?	[u'Indiana', u'Cass County', u'United States of America', u'Tipton Township']	[]
who has ray allen dated?	[u'Shannon Walker Williams']	[u'United States dollar', u'Boston Celtics', u'Miami Heat']
what inspired steinbeck?	[u'William Faulkner', u'Robert Burns', u'Sherwood Anderson', u'Thomas Malory']	[u'Cannery row', u'Cannery row', u'Cannery row', u'Tortilla Flat', u'East of Eden.', u'Burning bright', u'Tortilla Flat', u'Sweet Thursday', u'Burning bright', u'Novels, 1942-1952', u'Tortilla Flat', u'Tortilla Flat', u'Sweet Thursday', u'Sweet Thursday.', u'Sweet Thursday', u'Sweet Thursday', u'Burning bright', u'Tortilla flat', u'Tortilla Flat', u'Steinbeck', u'Tortilla Flat', u'Stu\u0308rmische Ernte', u'La grande vall\xe9e', u'La Perle', u'Iarna vrajbei noastre', u'Fr\xfcchte des Zorns', u'Eine handvoll Gold', u'Sweet Thursday', u'stora kalaset', u'Lifeboat', u'Cup of gold', u'Sea of Cortez', u'Torityah Flat', u'Burning bright', u'Viva Zapata!', u'Burning Bright', u'Cup of Gold', u'Novels, 1942-1952', u'Furore', u'Le poney rouge', u'Podro\u0301ze z Charleyhem', u'De vliegenvanger', u'Ryzhi\u012d poni', u'm\xe6gtigt gilde', u"La valle dell'Eden", u'Rutebil paa afveje', u'Marghalrah', u'Mo\u0308ss och ma\u0308nniskor', u'Buss pa\u030a villova\u0308gar', u'Murder', u'Flight', u'La perla', u'Zapata', u'JohnSteinbeck', u'JohnSteinbeck crop', u'John-Steinbeck.jpg', u'JohnSteinbeck', u'La perla', u'Tortilla Flat', u'The Grapes of Wrath', u'Viva Zapata!', u"Light's Diamond Jubilee", u'The Pearl', u'Russell Banks', u'John Grisham', u'Cork Graham', u'Cardiovascular disease', u'1968-12-20', u'Salinas', u'New York City', u'Thomas Steinbeck', u'John Steinbeck IV', u'1902-02-27', u'Male', u'1.82', u'United States of America', u'Olive Hamilton', u'Salinas', u'Novelist', u'Writer', u'Journalist', u'Screenwriter', u"Texas is not a state -- it's a state of mind.", u'John Steinbeck', u'La perla', u'Tortilla Flat', u'Lifeboat', u'Viva Zapata!', u'1939', u'English Language', u'California', u'Oklahoma', u'The Grapes of Wrath']
who were jesus siblings?	[u'Jude the Apostle', u'James the Just', u'Simon (brother of Jesus)', u'Joses']	[u'Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil. For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled. Whosoever therefore shall break one of these least commandments, and shall teach men so, he shall be called the least in the kingdom of heaven: but whosoever shall do and teach them, the same shall be called great in the kingdom of heaven. For I say unto you, That except your righteousness shall exceed the righteousness of the scribes and Pharisees, ye shall in no case enter into the kingdom of heaven.', u'Ye have heard that it hath been said, An eye for an eye, and a tooth for a tooth: But I say unto you, That ye resist not evil: but whosoever shall smite thee on thy right cheek, turn to him the other also. And if any man will sue thee at the law, and take away thy coat, let him have thy cloke also. And whosoever shall compel thee to go a mile, go with him twain. Give to him that asketh thee, and from him that would borrow of thee turn not thou away.', u'The Church of Jesus Christ of Latter-day Saints in Oklahoma', u'The Church of Jesus Christ of Latter-day Saints in Arizona', u'The Church of Jesus Christ of Latter-day Saints in New Mexico', u'Virgin and Child with the Young Saint John the Baptist, Saint Cecilia, and Angels']
where are samsung based?	[u'Seoul']	[u'English Language', u'Spanish Language', u'Seoul', u'South Korea', u'Eastern Time Zone', u'English Language', u'French Language', u'Filipino language', u'Chinese language', u'United States of America', u'Seoul', u'Suwon', u'416, Metan 3-Dong', u'Central Time Zone', u'Eastern Time Zone', u'The Golden Age \u2013 the Age of Enlightenment']
where was st. lucy born?	[u'Syracuse']	[]
who is keyshia cole dad?	[u'Leon Cole']	[u'Daniel Hiram Gibson Jr.', u'Los Angeles', u'Las Vegas', u'Daniel Gibson', u'Young Jeezy']
